Feature,Importance
TotalCharges,0.15020632883787244
tenure,0.14096039446856673
AvgMonthlySpend,0.13946632814445645
MonthlyCharges,0.1362672094947941
InternetService_Fiber optic,0.04074317712531989
PaymentMethod_Electronic check,0.03960560673032634
Contract_Two year,0.029008998927660744
PaperlessBilling,0.02496294946575559
TenureGroup_New,0.024655770704727707
gender,0.02445838693545937
Partner,0.02040623349190679
OnlineSecurity,0.019975089140390555
TechSupport,0.019965283487722807
Contract_One year,0.019948471660583778
OnlineBackup,0.01953633121015759
SeniorCitizen,0.017860082511349684
Dependents,0.0174002637578575
MultipleLines,0.016837305594609768
DeviceProtection,0.01576673617871304
InternetService_No,0.015726574005573413
StreamingTV,0.014113264806281505
StreamingMovies,0.014058755862625342
PaymentMethod_Credit card (automatic),0.011958736861466512
PaymentMethod_Mailed check,0.010711255854828365
TenureGroup_Mid-term,0.01002670686633768
PhoneService,0.005373757874656328
